Annotation order,id,Position,Company Name,Primary Keyword,charc_len,Long Description
1,0031e89e-0730-524b-bca2-7d7e5704dd3d,"Backend developer (Python, Golang or C#) Short Term",Innovecs,Python,3733,"We need bright talented engineers to help us develop a set of APIs that will enable our clients customers to send shipment data and, in return, the customer will receive a set of data revealing how much carbon was burned during the corresponding logistics activities. This effort will result in two different sets of APIs being developed: one between our client and their source for carbon calculations and the second between out client and it's customers. The endpoints between our client and its customers will need to be created from scratch, using requirements and specifications set by our client. The endpoints between our client and the source for carbon calculations are already well defined and established. This developer will need to be familiar with developing APIs and best practices therein. We are flexible in determining which technology we use to develop these API's.


ABOUT INNOVECS AND LOGISTICS

The biggest producers of carbon are retail supply chains and are responsible for over 50% of industry carbon emissions. Carbon emissions from burning fossil fuel accumulate in the atmosphere if there is not enough biocapacity dedicated to absorb these emissions.

By 2030 eCommerce growth will result in an increase of at least 30% in delivery-related carbon emissions across transportation. Consumers are looking for sustainable delivery and logistics, and regulatory requirements are playing a growing role in the push to reduce, track, measure. and report on carbon emissions and in turn show that reduction to consumers. The focus on eCommerce fulfillment and deliver operations will keep competition healthy and increase market share.


POSITION REQUIREMENTS

Python, Golang or C#
Have 5+ years of experience with deep technical knowledge and implemented key aspects of an end-to-end solution.
Have solved non-functional aspects of like scalability, security, reliability with cutting edge if not bleeding edge technology.
Are good about creating unit tests, performing code reviews, optimizing performance and ensuring standards for maintainability.
Comfortable using Agile practices (SCRUM, Jira, Code Reviews, User Stories and Planning).
Are comfortable working independently and collaborate with seasoned system engineering professionals as well as working directly with clients and business partners.
 

POSITION RESPONSIBILITIES

Develop and lead features from design to production.
Write extremely efficient server-side code in Java.
Develop new features.
Constantly improve architecture and collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.
Developing ideas for new programs, products, or features by monitoring industry developments and trends.
Recording data and reporting it to proper parties, such as clients or leadership.
Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.

PERKS OF THE JOB 

Educational opportunities & stimulating professional community.
Innovecs Ambassador program, where you can express or challenge yourself.
24/7 gym access, a personal coach & various sports training (jogging, yoga, kicker, table tennis, hockey, etc. – choose your favorite!)
Community enrollment in activities such as E-sports
Free classic and Thai massages in the office.
A dedicated personal wellness consultant.
Inspiring team building and cool edutainment events.
English classes, Speaking club and Acting classes with native speakers to boost your English and public speaking.
And of course, energizing colleagues with great team spirit"
2,04542ec5-2f52-555e-9453-5c39a1c41e2b,Data Engineer,MintyMint,Data Science,1205,"MintyMint is a custom full-cycle web development and mobile company.
At MintyMint, the priority is to save your time and effort by delivering world-class software that makes life easier. Our talented team helps partners to achieve exceptional business goals by producing high-quality products.
Our business values are People, Innovations, Responsibility.
Project : Paris-based project created to radically change the skincare and consumer industry for the better. Clients ambition is to create through the brand a movement for more clean products, more transparency and more information for the consumer.
We are growing and looking for a Data Engineer.

Requirements:
4 years of commercial experience;
Data modeling, Data processing;
Data warehouse (BigQuery is a plus);
Experience using ETLs;
Programming language: Python or other SQL;
Good spoken and written English.
We offer:
New comfortable office in the city center — Khreshatyk;
Flexible work schedule;
Paid vacation and sick days;
English classes compensation;
Professional workshops and training.
If you have the qualifications needed and you are a hard-working professional, MintyMint is a great place to get ahead. Apply now!"
3,0494e9e9-452b-552d-93c6-f484ede863e8,Computer Vision - AI Software Engineer,AllStars-IT,Data Science,1299,"You will be responsible for a complete development cycle: from the early stages of problem analysis and customer requirements, through the research, design and development stages.
You will work closely with engineers from different multidisciplinary teams, including Hardware (embedded device, built in-house), Mechanic, Networking, QA and Product.
You will have an amazing opportunity to use your creativity to create algorithms from scratch and take part in Juganu's smart city revolution.
 
**Requirements:**
	•	Extensive experience in AI computer vision algorithms
	•	Experience in classic computer vision and machine/deep learning algorithms
	•	Experience with Python, C, C++ programming
	•	Good understanding of SW architecture and OS
	•	Technical approach, analytical, problem-solving, and decision-making skills
	•	Self-driven, communicative, and passionate for new technologies
	•	B.Sc. SW Engineering )or similar fields(
	•	5+ years Software/Algorithms Engineering
**An advantage:**
	•	Experience with Embedded Devices
	•	Experience with 3D processing
	•	Experience with Image Processing
	•	Experience with Optics (camera calibration)
	•	Experience with Signal Processing (Audio, Gas)
	•	Experience with Client-Server architecture, dockers, DB
	•	CUDA, C++, OpenCV, TRT"
4,098ea499-fac1-5e9d-97a6-9c46bd7eb9b0,Senior Data Engineer,"Dynamo Development, Inc.",Python,1842,"Project: products that help clients make sense of the future and drive their businesses forward using data. The system retrieves large amounts of structured and unstructured data and uses scientific methods to extract knowledge and insights from that data. We present those analytics through a sophisticated, dynamic user interface which enables clients to find answers to their most important questions.

Your main tasks:
Senior Data Engineer will be the main engineering resource within our data science team.  Reporting to the R&D Team Lead, you will work alongside data scientists on cutting-edge problems. The goal is to build efficient and reusable data and machine learning pipelines to enable rapid R&D work, make it easy to productionize the research, quickly adopt new data sources, and maintain the best software engineering practices. The data engineer will collaborate with software engineers from other teams and influence the company's engineering strategy.

 Require skills:
- 4+ years professional experience in Python. Familiarity with Go is a plus;
- Relational database proficiency (e.g.  Redshift, MySQL, Aurora);
- Experience using Spark, Sqoop,  AWS services (Spectrum, Glue) and other related tools in the big data ecosystem;
- Knowledgeable of data modeling, data storage techniques, data warehousing and general data architecture;
- Experience with engineering data pipelines to capture, store and process unstructured data;
- Proficiency developing in a Mac/Linux environment;
- BS in Computer Science or similar; advanced degrees also acceptable.

We offer:
- Competitive salary;
- Great team spirit & ability to grow professionally;
- Flexible schedule;
- Paid lunches & English courses;
- Paid external trainings;
- Comfortable office and its location;
- Great team and challenging projects."
5,0aa39ab0-11f4-5efd-bf54-02d936cf594c,Business Application Developer,Svitla Systems,Data Engineer,1456,"**Responsibilities:**
- Maintain existing Stored Procedures and SQL Agent Jobs.
- Build dynamic reports in various technologies.
- Test and provide feedback on various development initiatives.
- Develop all applications per company growth and brand standards
- Identify technical issues & coordinate the resolution of these issues with extended team members from other
applications
- Use secure development best practices and design patterns
- Ensure all projects and releases are appropriately tested and risks are mitigated
- Keep up to date on the newest technological innovations, development tools, and coding architecture
- Inform Senior Developers on the overall approach, goal, and purpose of current and upcoming application
development projects

**Qualifications:**
- Bachelor's Degree in Development, Computer Science, Software Engineering, or equivalent work experience
- 3 to 5 years of development and maintenance of SQL Server.
- Demonstrated knowledge of Windows, SQL Server, SQL Server Reporting Services, and PowerBI.
- Strong understanding of relational databases and key concepts that go along with database design.
- Strong development skill in Windows 10 with Visual Studio, SQL Server Manager Studio (SSMS), SQL Server Data
Tools (SSDT), Power Query, and Git.
- Experience with Azure serverless development tools are a strong benefit.
- Understanding of computer networking, firewalls, and switches is preferred."
6,0aecc0af-b984-5cd8-945d-6a6553671341,Fullstack Python/Django/React Developer,K&C,Python,1654,"If you are a Senior Fullstack developer with a good professional level of English and would like to take your next career step that blends a remote role with the opportunity to work on the digital projects of a major German e-commerce brand-name this is the opportunity you’ve been waiting for!

You will be working in an agile Team, with our internal Product Owner, Senior Software Engineer and Scrum Master to deliver an amazing content management product for our eCommerce frontends.

We are working in a headless Python/Django/Wagtail Backend with a Javascript/React Frontend. Additionally we have the responsibility over other content related micro-services for our many eCommerce Stores.

We are working in a SAFe Framework on a high level and a Scrum/Kanban Methodology on a lower day to day level. We strive to provide value through data-driven decisions and validate our features together with our cross functional team stakeholders.

**Required skills:**
- Python - 5+ years
- Django - 5+ years
- React - 5+ years
-JavaScript - 3 years

**Requirements**
- Senior Level (5 years of experience) working with Python/Django based micro-services, with tests and javascript
- Professional Level (3 years of experience) working with strong Backend (Python/Django) and Javascript/React based client side application, with tests
- Fluent English in written and verbal communication

**Nice-to-have Qualification:**
- Wagtail skills and experience is a big plus
- Content, Marketing & SEO Knowledge and Understanding is a big plus

**Beginning:** Start Mid-January

**Location:** Preferably Barcelona, Spain or Remote within the EU"
7,0dae9522-7a5d-5888-8821-3ca2b3f03b23,Big Data Engineer,Intersog,Data Engineer,2531,"If you are an analytical problem solver with a vast knowledge of Java, we have the perfect job for you. We are seeking a **Big Data Developer** to join our friendly team of experts. Your mission will be to improve the overall quality, width and depth of the data collected on companies worldwide.

**About Our Customer:**
The Customer provides business data enrichment with unprecedented coverage of private companies, accurate classification and in-depth insights based on real-time updates, for procurement, insurance, market intelligence and more.

**Project Team:**
When you join our team, you'll immerse in a culture where teammates support each other to achieve better results. We believe that together we are better and can find brilliant solutions by sharing ideas.

**Requirements:**
- Experience using statistical computer languages, preferably Scala (or R, Python, SQL, etc.) to manipulate data and draw insights from (very!) large data sets
- Expertise working with and creating data architectures (Spark, Cassandra)
- Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
- High speed and uncompromising quality in your work
- A growth mindset, able to capitalize on unprecedented contexts through your skills and abilities
- An appetite to grapple with a variety of technical challenges
- The ability to quickly and effectively evaluate technical tradeoffs and translate them into relevant scenarios


**English level:** 
Intermediate+

**Nice to Have:**
Any knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks etc.) and their real-world advantages/drawbacks


**Responsibilities:**
- Mine and analyze data from across the web
- Assess the effectiveness and accuracy of new data sources and data gathering techniques
- Develop custom data models and algorithms to apply to text datasets
- Use predictive modeling to increase and optimize data extraction and data quality at ingestion and post-processing
- Develop the company's A/B data testing framework and test the quality of the data continuously
- Develop processes and tools to monitor and analyze model performance and data accuracy.
- Prototype quickly to solve thorny use cases, without getting stuck in theory, as we're prone to shipping early and often
- Write well-designed, testable, efficient code
- Identify areas of opportunity and improvement"
8,0e74af31-07dc-5621-9f7c-5c49d3f4834a,Senior Python Backend Engineer - Relocate,Synergy Sports,Python,1297,"Key Requirements and Attributes:

Strong Python knowledge
Strong MySQL & PostgreSQL knowledge
Strong experience working with AWS key services (for example: API Gateway, Lambda, SQS, Aurora, S3 & Caching)
Extensive software engineering background - 8 years' experience or more
Ability to define and drive software architecture
Client focused attitude
Excellent communication skills, self-motivation, and the ability to work effectively with minimal supervision
A strong sense of ownership and self-leadership
Experience in microservices development
Experience with building systems that have significant integrations with 3rd parties, both data coming in and data going out
Must be comfortable with modern software development methodologies such as agile development, git, CI/CD, code reviews etc.
Bonus Superpowers:

Experience in how sport runs and operates (either as a participant or an administrator)
Advanced C# (latest version with a preference to .NET Core)
MongoDB or other NoSQL technology
Docker
Comfortable with infrastructure as code
Kubernetes or other container orchestration technologies
Performance profiling and tuning high throughput applications
Previous experience leading a team
Complex problem-solving skills
Experience working in a remote environment"
9,1089b639-8242-5410-a887-16de33980af7,Python Senior,EPIC Conjoint,Python,1556,"Description:

We are looking for an experienced Python developer to join our team on a full-time basis.

Your role:

* Designing and developing new product features as well as improving existing ones.
* Collaborate with cross-functional teams, including software engineers, architects, and product owners, to design and develop high-quality solutions.
* Troubleshoot and debug complex issues, providing timely resolutions and improvements
* Write clean, efficient, and maintainable Python code, adhering to best practices and coding standards.
* Stay updated with the latest industry trends and technologies, evaluating their potential for enhancing our software development practices.

Candidate profile:

* Excellent knowledge of Python and its core libraries.
* Experience with Django, Celery, PostgreSQL, Docker, and AWS.
* Solid understanding of system architecture principles and best practices.
* Experience in developing Web APIs.
* Strong problem-solving skills and ability to analyze and optimize code for performance and scalability.
* Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
* Ability to work effectively with NO supervision.
* Intermediate English or higher
* Experience with machine learning and stats skills will be a plus.
* Readiness for short-term business trips (the main office is in Dublin, Ireland).

What We Offer:

* Full remote working model.
* Flexible working hours.
* Timely payments.
* Friendly and supportive work environment."
10,12e84961-cd2e-5199-8c45-5fb970568902,Python Software Engineer,reface.ai,Python,1228,"● 3+ years of software engineering experience (at least 2+ years with Python);
● Experience working in a high load / high performance distributed project;
● Experience both with async code and with multithreading/multiprocessing;
● Hands-on experience with SQL (e.g. PostgreSQL) and NoSQL databases (MongoDB, Redis, etc.);
● An open-minded person who is willing to work in a dynamic startup environment.


● Experience with other languages as Java, C#, JS, etc. (we also use NodeJS/TypeScript in one of the projects);
● Experience with Google Cloud infrastructure;
● Experience with unit testing;
● Experience in performance analysis, load testing, and modules/system optimization;
● Previous experience in a project that involved images/video processing.

Join us, and unleash your potential while creating a high-performance AI system for Face Swapping.
We offer you a culture of the rapidly growing innovative startup and friendly team of enthusiastic engineers :)


● Developing backend of Face Swap video service and analytics for our apps and services;
● Ensuring a stable operation of the system;
● Leveraging modern tools to achieve as much as possible while being part of a top tier development team."
