Annotation order,id,Position,Gold skills,System B predictions,Missed canonical label,Observed wording,Error family,Detailed category,Explanation,Frozen-policy relationship
3,0494e9e9-452b-552d-93c6-f484ede863e8,Computer Vision - AI Software Engineer,docker; machine learning; python,python,docker,dockers,Unapproved lexical variant or abbreviation,Plural morphological variant,"The text uses the plural form 'dockers'. The frozen lexicon contains 'docker' but not 'dockers', and no plural normalisation rule was included.",Outside the frozen canonical forms and approved aliases.
3,0494e9e9-452b-552d-93c6-f484ede863e8,Computer Vision - AI Software Engineer,docker; machine learning; python,python,machine learning,machine/deep learning algorithms,Compound or slash-separated expression,Non-contiguous canonical phrase,The wording is a slash-separated compound expression. It does not contain the contiguous canonical phrase 'machine learning' or the approved alias 'ml'.,Outside the frozen canonical forms and approved aliases.
10,12e84961-cd2e-5199-8c45-5fb970568902,Python Software Engineer,google cloud platform; mongodb; postgresql; python; sql,mongodb; postgresql; python; sql,google cloud platform,Google Cloud infrastructure,Unapproved lexical variant or abbreviation,Shortened platform name,The text uses 'Google Cloud' rather than the canonical form 'Google Cloud Platform' or the approved alias 'GCP'.,Outside the frozen canonical forms and approved aliases.
13,1950b147-a527-5298-9150-259848f71c4f,Senior Python Developer (with DevOps),amazon web services; azure; docker; elasticsearch; google cloud platform; python; sql; terraform,amazon web services; azure; docker; google cloud platform; python; sql; terraform,elasticsearch,ELK stack,Indirect related-technology reference,Related stack name not mapped,The text refers to the ELK stack rather than the exact canonical label 'elasticsearch'. 'ELK' was not an approved alias in the frozen lexicon.,Outside the frozen canonical forms and approved aliases.
18,2032982c-74ee-5ed4-856d-713e4782d81c,Middle Python Backend Developer,amazon web services; docker; mongodb; postgresql; python,amazon web services; mongodb; postgresql; python,docker,Docker-based,Conservative hyphen/boundary-policy block,Hyphen-attached canonical form,The canonical form 'Docker' is directly attached to a hyphen in 'Docker-based'. The frozen boundary policy blocks candidates directly joined to ordinary hyphens.,Known consequence of the conservative hyphen policy.
44,47cd37e2-ffe3-55fb-ae4e-fe814f20de59,Backend Engineer,google cloud platform; python,python,google cloud platform,Google Cloud specifically,Unapproved lexical variant or abbreviation,Shortened platform name,The text uses 'Google Cloud' rather than the canonical form 'Google Cloud Platform' or the approved alias 'GCP'.,Outside the frozen canonical forms and approved aliases.
54,4ffb1d33-859a-50ec-8fe8-cc38c0bc28bc,Middle Python Developer,azure; git; google cloud platform; postgresql; python,azure; git; postgresql; python,google cloud platform,Google Cloud,Unapproved lexical variant or abbreviation,Shortened platform name,The text uses 'Google Cloud' rather than the canonical form 'Google Cloud Platform' or the approved alias 'GCP'.,Outside the frozen canonical forms and approved aliases.
71,684059e5-fe20-5fa7-ad77-74bb3694718a,Database Administrator,google cloud platform; mongodb; postgresql,google cloud platform; mongodb,postgresql,PgSQL,Unapproved lexical variant or abbreviation,Database abbreviation,The text uses 'PgSQL'. The frozen System B aliases include 'postgres' but do not include 'pgsql'.,Outside the frozen canonical forms and approved aliases.
88,7ac2ee1f-5ca0-5da5-ac59-3c3efe161015,Senior Python developer (with AWS /Azure/Google Cloud certification),amazon web services; apache spark; azure; google cloud platform; power bi; python; terraform,amazon web services; apache spark; azure; power bi; python; terraform,google cloud platform,Google Cloud Certificate,Unapproved lexical variant or abbreviation,Shortened platform name,The text uses 'Google Cloud' rather than the canonical form 'Google Cloud Platform' or the approved alias 'GCP'.,Outside the frozen canonical forms and approved aliases.
95,7f543f63-31af-57cb-964c-928e3d962e14,Data Engineer,amazon web services; apache airflow; apache spark; google cloud platform; kubernetes; machine learning; python; scikit-learn; sql,amazon web services; apache airflow; apache spark; google cloud platform; machine learning; python; scikit-learn; sql,kubernetes,GKE,Unapproved lexical variant or abbreviation,Managed-service abbreviation,The text uses the service abbreviation 'GKE' rather than the canonical label 'kubernetes' or the approved alias 'k8s'.,Outside the frozen canonical forms and approved aliases.
96,8234e0b4-e7ac-553d-b334-38f12e811d9a,Backend Engineer,amazon web services; azure; docker; google cloud platform; mongodb; python,amazon web services; azure; docker; google cloud platform; python,mongodb,-MongoDB,Conservative hyphen/boundary-policy block,Hyphen-attached canonical form,The canonical form 'MongoDB' immediately follows a list-marker hyphen. The frozen left-boundary policy blocks a candidate directly attached to a hyphen.,Known consequence of the conservative hyphen policy.
99,89b39015-0c1d-5641-8a8c-92644174098c,Data Scientist,docker; git; google cloud platform; kubernetes; machine learning; python; sql,docker; git; kubernetes; machine learning; python; sql,google cloud platform,Google Cloud,Unapproved lexical variant or abbreviation,Shortened platform name,The text uses 'Google Cloud' rather than the canonical form 'Google Cloud Platform' or the approved alias 'GCP'.,Outside the frozen canonical forms and approved aliases.
